date,Title,call_rate,label
2024-01-01,"[신년사]이재명 ""총선에서 반드시 승리해 국민과 나라 지켜야""",3.906,1
2024-01-01,[미리보는 이데일리 신문]“상생금융·PF 관리” 지주회장 한목소리,3.906,1
2024-01-01,'탈디플레' 재강조한 日 기시다…제로금리 탈출 초읽기,3.906,1
2024-01-01,역대급 연초효과 오나…한화에어로스페이스 첫 주자,3.906,1
2024-01-01,태영건설 워크아웃 몰고간 '부동산 PF'는 무엇인가요?,3.906,1
2024-01-01,학자금 대출금리 1.7%…7개 학기 연속 동결,3.906,1
2024-01-01,"중진공, 2024년 중진기금 11조 1389억원 확정",3.906,1
2024-01-01,"고금리에 20% 줄어든 글로벌 M&A 시장, 새해엔 반등할까",3.906,1
2024-01-01,"문미옥 “R&D예산 삭감 새해, 새 관점의 과학기술혁신정책 필요”",3.906,1
2024-01-01,"‘족집게’ 올해 전망…“트럼프 대선 지고, 머스크의 X 파산할 것”",3.906,1
2024-01-01,"이창용 ""물가안정 최우선 두되 경기회복·금융안정 고려""[신년사]",3.906,1
2024-01-01,"이수근도 ""코인 투자, 마이너스 92%"" 고백…암호화폐 전망은 [이슈, 풀어주리]",3.906,1
2024-01-01,이창용 “경제 어려울 때마다 부채 늘리는 임기응변식 성장 시대 끝나”,3.906,1
2024-01-01,"기시다 ""올해 디플레 탈출""…도쿄일렉, 신입초임 40% 껑충",3.906,1
2024-01-01,전문가 “새해 내집마련 권하지 않지만…사야한다면 ‘이것’ 주목”,3.906,1
2024-01-01,“발걸음 참 무겁네요” 새해 밝았지만…자동차·철강·IT 회사들 ‘불안불안’,3.906,1
2024-01-01,"한국, G5 진입땐 국가가치 101조 ‘수직 상승’…수출 늘고 신인도 상승",3.906,1
2024-01-01,이번주 증시 美 고용지표가 좌우한다…붐&쇼크 한국판 위험도 5로 상승·미국판 0 유지,3.906,1
2024-01-01,"“아니, 내년엔 금리 내린다면서요”…IBK·NH·삼성증권 “새해 1월은 약세장”",3.906,1
2024-01-01,소비자들은 “물가 아직도 비싸”...바이든 재선 발목잡을 것,3.906,1
2024-01-01,새해 미국주식 투자법…월가 “대선 앞두고 올 봄 이후 변동성 주목”,3.906,1
2024-01-01,“칼로 죽이는 것과 잘못된 통치로 죽이는 것 차이 없어” 이재명 신년사,3.906,1
2024-01-01,中 경기부양 덕 좀 볼까? ··· 반등기대 살아나는 철강주,3.906,1
2024-01-02,"IBK투자증권 ""美 국채금리 1월에 상승 압력 받을 것""",3.535,-1
2024-01-02,"하나저축은행, '잘파 적금' 출시…최고 연 7% 금리",3.535,-1
2024-01-02,"국고채 30년물, 3.175%에 2조7000억원 낙찰… 응찰 8조1730억원",3.535,-1
2024-01-02,[신년사]이재근 KB국민은행장 “KB만의 금융 플랫폼 생태계 구축해야”,3.535,-1
2024-01-02,"진승호 KIC 사장 ""글로벌 리딩 국부펀드로 도약할 기틀 마련할 것""",3.535,-1
2024-01-02,"코스닥, 개장 첫날 1%대 상승…870선 회복",3.535,-1
2024-01-02,김윤식 신협중앙회장 “지역과 서민 위해 과감한 도전”[신년사],3.535,-1
2024-01-02,"작년말 역외 '숏' 되돌림…환율, 10원 넘게 급등[외환분석]",3.535,-1
2024-01-02,"김원규 이베스트證 대표 ""리스크 없애고 안정적 수익 확보""",3.535,-1
2024-01-02,[코스닥 마감]청룡해 상승기류 타고 870선 안착…바이오 강세,3.535,-1
2024-01-02,"통안채 91일물, 3.470%에 1조100억원 낙찰… 응찰 2조5600억원",3.535,-1
2024-01-02,“연초 숨 고르기…하반기 75bp 인하 관점서 3년물 3.3% 반등 시 매수”,3.535,-1
2024-01-02,"새해 첫 날 환율, 나흘 만에 1300원대 복귀[외환마감]",3.535,-1
2024-01-02,"이스라엘, 전쟁으로 경기 위축…기준금리 인하",3.535,-1
2024-01-02,"입찰 소화 후 금리 상승폭 확대… 30년물 금리, 14bp↑[채권마감]",3.535,-1
2024-01-02,"[미리보는 이데일리 신문]개미 표심 노린 尹 ""금투세 폐지 추진""",3.535,-1
2024-01-02,F&F 품에 안긴 '센터포인트 강남'…올해 12월 잔금까지 완수할까,3.535,-1
2024-01-02,"비트코인 1년9개월來 최고가 기록, 6000만원 찍었다",3.535,-1
2024-01-02,"개인, 작년 ETF 1조원 넘게 사들여…미니ETF 투자해볼까",3.535,-1
2024-01-02,주식 세금 새판 짠다…금투세 폐지론에 투자자 환호,3.535,-1
2024-01-02,"국고채 금리, 일제히 상승세… 10년 국채선물, 100틱 넘게 하락[채권분석]",3.535,-1
2024-01-02,"코스닥, 2024년 청룡해 강세로 개장…870선 회복",3.535,-1
2024-01-02,"새해 증시 오전 10시 개장…美, 한국 최대 수출국 올라서[뉴스새벽배송]",3.535,-1
2024-01-02,"“올해 코스피, ‘승천하는 용’ 흐름…1Q 조정은 매수 기회”",3.535,-1
2024-01-02,"""새해 증시 낙관론…1월엔 '숨고르기 장세' 대응해야""",3.535,-1
2024-01-02,"국고채, 일제히 약세 출발… 10년 국채선물, 80틱대 하락",3.535,-1
2024-01-02,中 경기불안에 日지진까지…새해 첫 날 환율 1290원대로 복귀[외환브리핑],3.535,-1
2024-01-02,“매크로 변수 줄어든 증시…반도체 흐름에 좌우”,3.535,-1
2024-01-02,2024년 첫 거래일… 레벨 부담 속 방향성 찾기[채권브리핑],3.535,-1
2024-01-02,삼성證 슈퍼리치 77% “올 증시 오른다”…사자성어는 ‘거안사위’,3.535,-1
2024-01-02,[신년사]함영주 하나금융 회장 “제휴·투자·M&A 다방면으로 협업 이뤄내야”,3.535,-1
2024-01-02,태영건설 1.6조 현금화 가능…총선 전 워크아웃 약정 기대[마켓인],3.535,-1
2024-01-02,"씨에스윈드, IRA 효과에 금리 하향…업황 성장세 전망",3.535,-1
